age,population
F0-4,1279886.5
F5-9,1357176.5
F10-14,1289467
F15-19,1159295.5
F20-24,1100386
F25-29,1257783.5
F30-34,1330235.5
F35-39,1181350.5
F40-44,918922
F45-49,657165
F50-54,489737
F55-59,373956
F60-64,271267.5
F65-69,166844
F70-74,107835
F75-79,73768.5
F80-84,42771.5
F>85,30257
M0-4,1333323.5
M5-9,1408136
M10-14,1347854
M15-19,1212290.5
M20-24,1453171
M25-29,2239000
M30-34,2665464.5
M35-39,2503180.5
M40-44,1974409.5
M45-49,1370778.5
M50-54,992826
M55-59,710954.5
M60-64,448387
M65-69,230572
M70-74,133360.5
M75-79,86430
M80-84,43460
M>85,22589.5
